,0
1163.0,W01
1235.0,W02
1228.0,W03
1120.0,W04
1361.0,W05
1140.0,W06
1450.0,W07
1194.0,W08
1321.0,W09
1179.0,W10
1182.0,W11
1412.0,W12
1463.0,W13
1287.0,W14
1355.0,W15
1391.0,W16
1314.0,X01
1112.0,X02
1124.0,X03
1104.0,X04
1388.0,X05
1155.0,X06
1173.0,X07
1280.0,X08
1277.0,X09
1305.0,X10
1307.0,X11
1213.0,X12
1158.0,X13
1159.0,X14
1253.0,X15
1447.0,X16
1345.0,Y01
1397.0,Y02
1166.0,Y03
1242.0,Y04
1211.0,Y05
1376.0,Y06
1400.0,Y07
1429.0,Y08
1395.0,Y09
1161.0,Y10
1332.0,Y11
1270.0,Y12
1359.0,Y13
1103.0,Y14
1389.0,Y15
1212.0,Y16
1222.0,Z01
1266.0,Z02
1246.0,Z03
1181.0,Z04
1458.0,Z05
1403.0,Z06
1196.0,Z07
1304.0,Z08
1401.0,Z09
1160.0,Z10
1301.0,Z11
1241.0,Z12
1436.0,Z13
1324.0,Z14
1443.0,Z15
1255.0,Z16
