,0
W01,1163.0
W02,1235.0
W03,1228.0
W04,1120.0
W05,1361.0
W06,1140.0
W07,1450.0
W08,1194.0
W09,1321.0
W10,1179.0
W11,1182.0
W12,1412.0
W13,1463.0
W14,1287.0
W15,1355.0
W16,1391.0
X01,1314.0
X02,1112.0
X03,1124.0
X04,1104.0
X05,1388.0
X06,1155.0
X07,1173.0
X08,1280.0
X09,1277.0
X10,1305.0
X11,1307.0
X12,1213.0
X13,1158.0
X14,1159.0
X15,1253.0
X16,1447.0
Y01,1345.0
Y02,1397.0
Y03,1166.0
Y04,1242.0
Y05,1211.0
Y06,1376.0
Y07,1400.0
Y08,1429.0
Y09,1395.0
Y10,1161.0
Y11,1332.0
Y12,1270.0
Y13,1359.0
Y14,1103.0
Y15,1389.0
Y16,1212.0
Z01,1222.0
Z02,1266.0
Z03,1246.0
Z04,1181.0
Z05,1458.0
Z06,1403.0
Z07,1196.0
Z08,1304.0
Z09,1401.0
Z10,1160.0
Z11,1301.0
Z12,1241.0
Z13,1436.0
Z14,1324.0
Z15,1443.0
Z16,1255.0
