Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM.1,OppO,OppD,AdjEM.2,Year,Seed
Abilene Chr,Slnd,11-20,-23.35,94,117.3,63.2,-0.045,-2.67,104.7,107.4,13.38,2014,
Abilene Chr,Slnd,10-21,-20.63,93.2,113.8,63.8,-0.003,-5.96,102,108,-1.93,2015,
Abilene Chr,Slnd,13-18,-15.24,97.1,112.3,67.8,0.025,-7.76,101.4,109.2,-0.96,2016,
Abilene Chr,Slnd,13-16,-11.86,97,108.8,65.8,0.049,-5.96,101.7,107.6,1.15,2017,
Abilene Chr,Slnd,16-16,-8.66,98.2,106.8,68.6,0.014,-6.52,101.3,107.8,-3.16,2018,
Abilene Chr,Slnd,27-7,1.35,103.4,102,66.1,0.123,-8.67,100,108.7,-4.75,2019,15
Abilene Chr,Slnd,20-11,-1.14,99.1,100.2,68.4,-0.023,-7.05,99.6,106.6,5.58,2020,
Abilene Chr,Slnd,24-5,10.11,101.7,91.6,69.3,0.009,-5.43,99.4,104.8,4.93,2021,14
Abilene Chr,WAC,25-11,3.38,104.1,100.7,70.3,0.04,-2.21,100.6,102.8,-2.82,2022,
Abilene Chr,WAC,13-17,-1.47,105.7,107.1,69,-0.05,2.14,105.2,103,-0.34,2023,
Abilene Chr,WAC,15-17,-4.19,101.5,105.7,68.4,0.04,-0.12,104.6,104.7,0.52,2024,
Air Force,MWC,12-16,1.27,105.2,104,52.9,-0.074,1.99,104.1,102.1,-6.08,2003,
Air Force,MWC,22-7,15.42,111.4,96,51.9,0.025,0.58,103.3,102.8,-10.49,2004,11
Air Force,MWC,18-12,13.4,112.2,98.9,54.3,-0.084,2.63,104.4,101.8,-1.5,2005,
Air Force,MWC,24-7,14.87,113.2,98.3,54.7,-0.001,0.57,102.8,102.2,-6.63,2006,13
Air Force,MWC,26-9,20.2,116.5,96.3,57.5,-0.021,3.24,106.5,103.2,-1.91,2007,1
Air Force,MWC,16-14,1.18,100.9,99.7,56.3,-0.007,0.17,102.8,102.6,-10.09,2008,
Air Force,MWC,10-21,-5.7,98.6,104.3,57.8,-0.09,2.3,104.9,102.6,-12.06,2009,
Air Force,MWC,10-21,-8.64,96.8,105.5,57.3,-0.046,2.52,103.7,101.1,-7.67,2010,
Air Force,MWC,16-16,3.43,107.2,103.8,61.1,0.021,4.4,105.1,100.7,-5.72,2011,
Air Force,MWC,13-16,-2.2,100,102.2,61.1,-0.017,1.28,102.5,101.2,-11.06,2012,
Air Force,MWC,18-14,6.74,111.7,104.9,63.2,0.034,7.17,105.7,98.5,-4.78,2013,
Air Force,MWC,12-18,-7,99.6,106.6,63.6,0.056,0.57,105.4,104.8,-9.12,2014,
Air Force,MWC,14-17,-3.01,108.1,111.2,61.7,-0.065,-1.17,102.6,103.8,-11.14,2015,
Air Force,MWC,14-18,-6.92,99.1,106,67,0.087,0.69,104.4,103.8,-4.7,2016,
Air Force,MWC,12-21,-5.22,104.3,109.5,67.1,-0.065,0.29,104.4,104.1,-6.1,2017,
Air Force,MWC,12-19,-6.25,100.5,106.8,66,0.022,1.72,105.7,104,-5.13,2018,
Air Force,MWC,14-18,-7.06,100.6,107.7,66.6,0.03,-1.62,102.9,104.5,-4.14,2019,
Air Force,MWC,12-20,-2.49,107.8,110.3,68.8,-0.059,2.4,103.9,101.5,-3,2020,
Air Force,MWC,5-20,-16.51,94.4,110.9,62.8,0.028,4.35,104.6,100.3,-2.18,2021,
Air Force,MWC,11-18,-8.48,95.5,104,63.2,0.068,1.53,103.5,102,-8.8,2022,
Air Force,MWC,14-18,1.25,105.8,104.5,63,-0.057,1.41,106.2,104.8,-10.69,2023,
Air Force,MWC,9-22,-7.19,105.9,113.1,61.8,-0.046,3.18,108.3,105.1,-9.58,2024,
Akron,MAC,14-14,-0.92,110,110.9,67,-0.025,-1.77,102.3,104,-6.51,2003,
Akron,MAC,13-15,-0.45,106.3,106.7,64.8,-0.019,-0.49,103.4,103.9,-2.33,2004,
Akron,MAC,19-10,10.1,106,95.9,66.2,-0.014,2.55,105.7,103.2,-1.97,2005,
Akron,MAC,23-10,9.28,111.1,101.8,64.1,0.037,0.82,102.5,101.7,1.96,2006,8
Akron,MAC,26-7,16.15,115.2,99.1,63.8,-0.056,-1.65,102.8,104.5,-4.55,2007,
Akron,MAC,24-11,10.48,110.9,100.4,62.8,-0.009,0.39,103,102.6,-4.22,2008,6
Akron,MAC,23-13,6.9,102.9,96,64.8,-0.014,-1.6,100.9,102.5,-1.83,2009,13
Akron,MAC,24-11,5.2,105.3,100.1,65.1,0.047,-1.52,102.2,103.7,-4.29,2010,
Akron,MAC,23-13,4.09,103.7,99.6,65.9,0.043,-1.7,102.5,104.2,-0.43,2011,15
Akron,MAC,22-12,10.66,108.3,97.7,66.4,-0.021,2.81,104.6,101.8,3.86,2012,5
Akron,MAC,26-7,11.52,106.8,95.2,65.2,0.085,-0.35,102.4,102.7,0.28,2013,12
Akron,MAC,21-13,2.1,105,102.9,64,0.073,-0.8,103.7,104.5,0.1,2014,
Akron,MAC,21-14,5.77,105.1,99.4,63.6,-0.042,-0.98,104,105,-7.63,2015,
Akron,MAC,26-9,8.63,110.1,101.5,67.5,0.025,-1.32,104.6,105.9,-3.29,2016,6
Akron,MAC,27-9,6.1,112.6,106.4,66.3,0.084,-1.48,104.2,105.7,-5.23,2017,7
Akron,MAC,14-18,-8.08,101.8,109.9,67.8,0.068,-2.06,104.5,106.5,-5.3,2018,
Akron,MAC,17-16,5.87,100,94.1,66.2,-0.105,1.16,105.4,104.3,-5.43,2019,
Akron,MAC,15-8,7.14,108.6,101.5,68.5,-0.001,4.26,105.8,101.5,20.9,2021,
Akron,MAC,24-10,3.62,105.6,102,62.1,0.013,-5.13,100.7,105.8,-4.48,2022,13
Akron,MAC,22-11,6.16,109.5,103.4,65.2,0.002,-2.32,104.7,107,-1.1,2023,
Akron,MAC,24-10,4.94,107,102.1,65.9,-0.002,-1.86,105.4,107.3,6.45,2024,14
Akron,MAC,24-7,9.54,108.5,98.9,69.4,0.022,-1.21,101.3,102.5,-1.88,2020,
Alabama,SEC,17-12,14.6,110.3,95.7,65.3,-0.015,9.55,106.6,97.1,2.31,2003,10
Alabama,SEC,20-13,16.5,114.7,98.2,64.7,0.004,11.2,109.1,97.9,6.59,2004,8
Alabama,SEC,24-8,20.51,118.8,98.3,62.8,0.033,6.84,106.5,99.6,-1.28,2005,5
Alabama,SEC,18-13,12.48,112.8,100.3,63.4,0.005,9.21,107.7,98.4,1.6,2006,10
Alabama,SEC,20-12,13.04,114.7,101.6,65.3,0.019,8.15,108.3,100.2,-4.84,2007,5
Alabama,SEC,17-16,9.2,110.9,101.7,66.7,-0.055,5.7,107.2,101.5,-2.55,2008,
Alabama,SEC,18-14,6.63,105.9,99.3,67.5,-0.016,4.06,105.2,101.2,-7.19,2009,
Alabama,SEC,17-15,12.55,107.9,95.3,64.2,-0.099,6.75,106.5,99.8,-0.93,2010,
Alabama,SEC,25-12,13.7,104.6,90.9,63.9,-0.003,3.28,104.8,101.5,-5.62,2011,1
