Team,SweetSixteenCount,EliteEightCount,FinalFourCount,ChampionshipCount,TeamID
Akron,1371,811,459,237,1103
Alabama,5546,2841,1670,924,1104
Arizona,1222,631,280,124,1112
Auburn,171,81,13,8,1120
BYU,813,265,126,54,1140
Baylor,1084,327,135,58,1124
Clemson,1409,534,290,179,1155
Col Charleston,446,265,126,65,1158
Colgate,1169,423,186,96,1159
Colorado,3334,1229,570,258,1160
Colorado St,693,383,151,69,1161
Connecticut,442,242,99,42,1163
Creighton,1361,853,433,191,1166
Dayton,367,112,50,20,1173
Drake,132,80,27,9,1179
Duke,785,362,135,61,1181
Duquesne,2346,1928,609,311,1182
FL Atlantic,86,32,19,12,1194
Florida,222,144,61,37,1196
Gonzaga,1201,727,376,155,1211
Grambling,603,299,155,68,1212
Grand Canyon,135,74,30,15,1213
Houston,1802,1052,513,237,1222
Illinois,1480,595,287,131,1228
Iowa St,3033,1425,637,265,1235
James Madison,172,66,29,11,1241
Kansas,1350,799,422,192,1242
Kentucky,1313,589,358,205,1246
Long Beach St,626,173,81,47,1253
Longwood,701,396,167,70,1255
Marquette,2501,1790,789,357,1266
McNeese St,1000,450,198,119,1270
Michigan St,1350,730,201,108,1277
Mississippi St,210,133,102,64,1280
Morehead St,1237,627,254,138,1287
NC State,183,97,52,23,1301
Nebraska,558,185,68,27,1304
Nevada,3912,2290,1298,725,1305
New Mexico,211,139,89,47,1307
North Carolina,1658,880,418,212,1314
Northwestern,4389,1570,1017,417,1321
Oakland,157,79,42,25,1324
Oregon,562,321,239,126,1332
Purdue,2257,1576,817,333,1345
S Dakota St,173,90,34,10,1355
Samford,2529,1099,650,345,1359
San Diego St,439,228,64,34,1361
South Carolina,819,395,159,84,1376
St Mary's CA,456,346,203,106,1388
St Peter's,2859,1018,530,314,1389
Stetson,1613,764,283,129,1391
TCU,550,226,113,60,1395
Tennessee,2036,702,262,119,1397
Texas,299,127,62,33,1400
Texas A&M,2011,1166,615,323,1401
Texas Tech,1858,944,509,258,1403
UAB,173,88,42,23,1412
Utah St,510,214,124,64,1429
Vermont,2173,1413,715,324,1436
WKU,432,271,129,62,1443
Wagner,199,102,79,47,1447
Washington St,786,463,142,70,1450
Wisconsin,1798,217,98,42,1458
Yale,2687,1522,1109,681,1463
